group,name,url,type,notes,geo_blocked,working,vpn_suggestion
argentina,3,https://www.youtube.com/c/todonoticias/live,youtube,"[>](https://www.youtube.com/c/todonoticias/live) <img height=""20"" src=""https://upload.wikimedia.org/wikipedia/commons/thumb/4/4f/TN_todo_noticias_logo.svg/200px-TN_todo_noticias_logo.svg.png""/> TodoNoticias.ar",False,True,
argentina,22.1,https://www.youtube.com/user/encuentro/live,youtube,"[>](https://www.youtube.com/user/encuentro/live) <img height=""20"" src=""https://i.imgur.com/IyP2UIx.png""/> Encuentro.ar",False,False,
argentina,22.2,https://www.youtube.com/user/CanalPakapaka/live,youtube,"[>](https://www.youtube.com/user/CanalPakapaka/live) <img height=""20"" src=""https://i.imgur.com/Q4zaCuM.png""/> Pakapaka.ar",False,False,
argentina,22.3,https://5fb24b460df87.streamlock.net/live-cont.ar/mirador/playlist.m3u8,hls,"[>](https://5fb24b460df87.streamlock.net/live-cont.ar/mirador/playlist.m3u8) <img height=""20"" src=""http://tvabierta.weebly.com/uploads/5/1/3/4/51344345/aunar.png""/> Aunar.ar",False,False,
argentina,22.4,https://5fb24b460df87.streamlock.net/live-cont.ar/cinear/playlist.m3u8,hls,"[>](https://5fb24b460df87.streamlock.net/live-cont.ar/cinear/playlist.m3u8) <img height=""20"" src=""https://i.imgur.com/RPLyrIC.png""/> CineAr.ar",False,False,
argentina,22.5,https://tv.initium.net.ar:3939/live/tectvmainlive.m3u8,hls,"[>](https://tv.initium.net.ar:3939/live/tectvmainlive.m3u8) <img height=""20"" src=""https://i.imgur.com/EGCq1wc.png""/> TECTV.ar",False,False,
argentina,23.1,https://www.youtube.com/user/TVPublicaArgentina/live,youtube,"[>](https://www.youtube.com/user/TVPublicaArgentina/live) <img height=""20"" src=""https://i.imgur.com/4hYYpiu.png""/> TVPublica.ar",False,True,
argentina,24.1,https://5fb24b460df87.streamlock.net/live-cont.ar/deportv/playlist.m3u8,hls,"[>](https://5fb24b460df87.streamlock.net/live-cont.ar/deportv/playlist.m3u8) <img height=""20"" src=""https://i.imgur.com/iyYLNRt.png""/> DeporTV.ar",False,False,
argentina,24.2,https://www.youtube.com/c/canal26/live,youtube,"[>](https://www.youtube.com/c/canal26/live) <img height=""20"" src=""https://i.imgur.com/xDjOUuz.png""/> Canal26.ar",False,True,
argentina,24.4,https://www.youtube.com/c/cronicatv/live,youtube,"[>](https://www.youtube.com/c/cronicatv/live) <img height=""20"" src=""https://i.imgur.com/k2Ku8Ib.png""/> CronicaTV.ar",False,True,
argentina,24.5,https://www.youtube.com/watch?v=IxQ2-6Y4y9w,youtube,"[>](https://www.youtube.com/watch?v=IxQ2-6Y4y9w) <img height=""20"" src=""https://photos.live-tv-channels.org/tv-logo/ar-ip-noticias-6980-300x225.jpg"" /> IPNoticias.ar",False,False,
argentina,24.6,https://www.youtube.com/watch?v=JuskTxbUqmY,youtube,"[>](https://www.youtube.com/watch?v=JuskTxbUqmY) <img height=""20"" src=""https://yt3.ggpht.com/a-/AAuE7mAuXDwiY8UPwtAHrGXTXkAxBjdRqws2MJIN2A=s900-mo-c-c0xffffffff-rj-k-no""/> ElDestape.ar",False,False,
argentina,25.2,https://www.youtube.com/c/c5n/live,youtube,"[>](https://www.youtube.com/c/c5n/live) <img height=""20"" src=""https://i.imgur.com/E3pamA5.png""/> C5N.ar",False,True,
argentina,25.3,https://www.youtube.com/c/LaNacionMas/live,youtube,"[>](https://www.youtube.com/c/LaNacionMas/live) <img height=""20"" src=""https://i.imgur.com/vJYzGt1.png""/> LaNacionPlus.ar",False,True,
argentina,25.6,https://unlimited1-us.dps.live/perfiltv/perfiltv.smil/perfiltv/livestream2/chunks.m3u8,hls,"[>](https://unlimited1-us.dps.live/perfiltv/perfiltv.smil/perfiltv/livestream2/chunks.m3u8) <img height=""20"" src=""https://i.ibb.co/y4pkxH3/Qtc8-M2-PG-400x400.jpg""/> CanalE.ar",False,True,
argentina,26.3,https://live-edge01.telecentro.net.ar/live/smil:tlx.smil/playlist.m3u8,hls,"[>](https://live-edge01.telecentro.net.ar/live/smil:tlx.smil/playlist.m3u8) <img height=""20"" src=""https://i.imgur.com/gfX0hdB.png""/> Telemax.ar",False,False,
argentina,27.2,https://unlimited1-us.dps.live/nettv/nettv.smil/playlist.m3u8,hls,"[>](https://unlimited1-us.dps.live/nettv/nettv.smil/playlist.m3u8) <img height=""20"" src=""https://i.imgur.com/EWmshtx.png""/> NETTV.ar",False,True,
argentina,32.1,https://stratus.stream.cespi.unlp.edu.ar/hls/tvunlp.m3u8,hls,"[>](https://stratus.stream.cespi.unlp.edu.ar/hls/tvunlp.m3u8) <img height=""20"" src=""https://i.imgur.com/tvLHiAT.png""/> TVUniversidad.ar",False,True,
